Player,K (hs),A (f),D,KAST,K-D Diff,ADR,FK Diff,Rating,Team,MapID,Starting side,Rounds,Team rating,Entries,Clutches,Map,Tournament,Date,Team1,Team2,ResultTeam1,ResultTeam2,Bets,MatchID
sh1ro,28 (6),5 (2),13,83.3%,15,115.3,0,1.73,Gambit,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1.00/21.00,2347744
Hobbit,26 (19),2 (0),16,75.0%,10,108.9,2,1.54,Gambit,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1.00/21.00,2347744
Ax1Le,17 (11),2 (1),10,70.8%,7,74.3,-2,1.14,Gambit,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1.00/21.00,2347744
interz,11 (3),5 (2),9,83.3%,2,56.2,1,1.01,Gambit,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1.00/21.00,2347744
nafany,14 (2),4 (0),16,70.8%,-2,63.1,1,0.97,Gambit,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1.00/21.00,2347744
REAL1ZE,20 (4),1 (0),18,62.5%,2,85.5,2,1.13,NASR,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1.00/21.00,2347744
BOROS,12 (9),5 (0),20,58.3%,-8,57.2,1,0.79,NASR,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1.00/21.00,2347744
Bibu,10 (5),5 (0),18,66.7%,-8,58.2,-2,0.65,NASR,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1.00/21.00,2347744
Dementor,12 (6),4 (0),20,50.0%,-8,52.3,0,0.64,NASR,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1.00/21.00,2347744
gejmzilla,8 (6),7 (5),20,54.2%,-12,54.5,-3,0.6,NASR,118129,ct,16 : 8 ( 10 : 5 ) ( 6 : 3 ),1.28 : 0.76,13 : 11,0 : 0,Dust2,BLAST Premier Spring Showdown 2021,14th of April 2021,Gambit,NASR,2,0,1.00/21.00,2347744
