Player,K (hs),A (f),D,KAST,K-D Diff,ADR,FK Diff,Rating,Team,MapID,Starting side,Rounds,Team rating,Entries,Clutches,Map,Tournament,Date,Team1,Team2,ResultTeam1,ResultTeam2,T1pick,Bets,choices,MatchID

TeSeS,19 (6),6 (2),12,70.0%,7,111.0,5,1.62,Heroic,118234,ct,16 : 4 ( 11 : 4 ) ( 5 : 0 ),1.41 : 0.74,12 : 8,1 : 0,Vertigo,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,0,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
cadiaN,19 (6),7 (2),8,80.0%,11,103.3,0,1.55,Heroic,118234,ct,16 : 4 ( 11 : 4 ) ( 5 : 0 ),1.41 : 0.74,12 : 8,1 : 0,Vertigo,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,0,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
refrezh,20 (6),7 (2),11,90.0%,9,99.0,0,1.54,Heroic,118234,ct,16 : 4 ( 11 : 4 ) ( 5 : 0 ),1.41 : 0.74,12 : 8,1 : 0,Vertigo,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,0,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
sjuush,17 (4),3 (0),11,85.0%,6,68.0,-2,1.19,Heroic,118234,ct,16 : 4 ( 11 : 4 ) ( 5 : 0 ),1.41 : 0.74,12 : 8,1 : 0,Vertigo,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,0,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
stavn,11 (4),8 (4),9,80.0%,2,75.0,1,1.15,Heroic,118234,ct,16 : 4 ( 11 : 4 ) ( 5 : 0 ),1.41 : 0.74,12 : 8,1 : 0,Vertigo,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,0,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
JUST,18 (13),2 (1),16,60.0%,2,103.5,0,1.3,SAW,118234,ct,16 : 4 ( 11 : 4 ) ( 5 : 0 ),1.41 : 0.74,12 : 8,1 : 0,Vertigo,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,0,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
arki,14 (7),3 (1),17,50.0%,-3,90.9,-2,0.93,SAW,118234,ct,16 : 4 ( 11 : 4 ) ( 5 : 0 ),1.41 : 0.74,12 : 8,1 : 0,Vertigo,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,0,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
MUTiRiS,8 (3),1 (1),16,50.0%,-8,43.0,-1,0.62,SAW,118234,ct,16 : 4 ( 11 : 4 ) ( 5 : 0 ),1.41 : 0.74,12 : 8,1 : 0,Vertigo,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,0,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
stadodo,8 (6),3 (2),19,45.0%,-11,45.1,-2,0.49,SAW,118234,ct,16 : 4 ( 11 : 4 ) ( 5 : 0 ),1.41 : 0.74,12 : 8,1 : 0,Vertigo,BLAST Premier Spring Showdown 2021,15th of April 2021,Heroic,SAW,2,0,0,1.12 / 5.50,"1. SAW removed Overpass
2. Heroic removed Dust2
3. SAW picked Vertigo
4. Heroic picked Train
5. SAW removed Mirage
6. Heroic removed Inferno
7. Nuke was left over",2347746
