Player,K (hs),A (f),D,KAST,K-D Diff,ADR,FK Diff,Rating,Team,MapID,Map,MatchID
Magisk,13 (5),3 (2),12,78.3%,1,66.3,1,1.02,Astralis,118030,Inferno,2347740
device,12 (3),3 (1),14,69.6%,-2,56.1,4,0.93,Astralis,118030,Inferno,2347740
dupreeh,10 (4),2 (0),12,65.2%,-2,53.4,-1,0.86,Astralis,118030,Inferno,2347740
gla1ve,7 (4),3 (0),16,56.5%,-9,48.7,-6,0.53,Astralis,118030,Inferno,2347740
Bubzkji,7 (4),0 (0),16,56.5%,-9,33.3,-1,0.52,Astralis,118030,Inferno,2347740
valde,26 (16),3 (0),6,91.3%,20,115.4,1,1.95,OG,118030,Inferno,2347740
niko,12 (6),6 (3),13,78.3%,-1,60.3,1,1.1,OG,118030,Inferno,2347740
flameZ,11 (8),6 (3),13,73.9%,-2,64.0,-2,1.06,OG,118030,Inferno,2347740
mantuu,12 (5),3 (3),6,78.3%,6,38.0,2,1.06,OG,118030,Inferno,2347740
Aleksib,9 (4),4 (1),11,87.0%,-2,51.7,1,1.03,OG,118030,Inferno,2347740
Magisk,25 (13),5 (0),23,63.9%,2,78.2,-1,1.08,Astralis,118040,Dust2,2347740
device,23 (6),1 (1),21,61.1%,2,61.9,0,1.01,Astralis,118040,Dust2,2347740
dupreeh,21 (14),5 (1),28,63.9%,-7,67.8,-2,0.86,Astralis,118040,Dust2,2347740
Xyp9x,18 (12),5 (1),24,72.2%,-6,61.7,2,0.84,Astralis,118040,Dust2,2347740
gla1ve,17 (10),6 (3),28,61.1%,-11,66.9,-1,0.78,Astralis,118040,Dust2,2347740
mantuu,26 (5),6 (0),16,80.6%,10,80.3,3,1.37,OG,118040,Dust2,2347740
Aleksib,27 (14),15 (5),24,83.3%,3,88.2,2,1.24,OG,118040,Dust2,2347740
flameZ,23 (7),6 (2),21,83.3%,2,58.8,-1,1.12,OG,118040,Dust2,2347740
valde,22 (8),7 (0),20,69.4%,2,72.6,0,1.05,OG,118040,Dust2,2347740
niko,24 (11),8 (3),23,63.9%,1,63.1,-2,0.89,OG,118040,Dust2,2347740
