,Outcome
0,0
1,1
2,1
3,0
4,1
5,0
6,1
7,1
8,1
9,0
10,1
11,1
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,0
38,0
39,1
40,1
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,1
52,1
53,0
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,0
65,1
66,0
67,0
68,1
69,1
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,0
80,0
81,0
82,1
83,0
84,0
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,1
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,1
136,1
137,0
138,0
139,1
140,0
141,0
142,1
143,0
144,1
145,0
146,0
147,0
148,1
149,1
150,1
151,1
152,0
153,0
154,0
155,1
156,0
157,1
158,0
159,1
160,0
161,1
162,1
163,0
164,0
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,1
180,1
181,1
182,0
183,0
184,0
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,0
199,0
200,1
201,1
202,0
203,0
204,1
205,0
206,0
207,1
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,0
224,0
225,1
226,0
227,0
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,0
236,0
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,0
245,0
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,0
254,0
255,0
256,1
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,0
270,0
271,1
272,0
273,0
274,0
275,1
276,1
277,1
278,1
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,1
290,0
291,1
292,0
293,1
294,1
295,1
296,1
297,0
298,1
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,1
308,0
309,0
310,1
311,0
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,1
323,0
324,1
325,1
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,1
337,0
338,0
339,1
340,0
341,0
342,0
343,0
344,1
345,0
346,0
347,0
348,1
349,1
350,0
351,1
352,1
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,1
361,0
362,1
363,0
364,1
365,0
366,0
367,1
368,1
369,1
370,0
371,0
372,0
373,0
374,1
375,0
376,1
377,1
378,1
379,0
380,1
381,0
382,1
383,1
384,0
385,1
386,1
387,1
388,0
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,0
398,1
399,0
400,0
401,0
402,0
403,1
404,1
405,0
406,1
407,0
408,1
409,1
410,1
411,0
412,0
413,0
414,1
415,1
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,1
424,1
425,0
426,1
427,0
428,1
429,1
430,0
431,1
432,0
433,0
434,1
435,1
436,0
437,1
438,0
439,1
440,0
441,1
442,0
443,1
444,0
445,1
446,0
447,0
448,1
449,0
450,0
451,1
452,0
453,0
454,0
455,0
456,1
457,0
458,1
459,1
460,0
461,0
462,1
463,1
464,1
465,0
466,1
467,0
468,1
469,1
470,1
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,1
480,0
481,1
482,0
483,1
484,1
485,1
486,0
487,0
488,1
489,0
490,1
491,1
492,1
493,0
494,1
495,1
496,0
497,1
498,0
499,1
500,0
501,0
502,1
503,0
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,1
513,0
514,1
515,1
516,0
517,1
518,1
519,0
520,1
521,0
522,0
523,1
524,0
525,1
526,1
527,1
528,0
529,1
530,1
531,1
532,0
533,0
534,1
535,0
536,1
537,0
538,1
539,0
540,0
541,1
542,1
543,0
544,0
545,0
546,0
547,0
548,0
549,1
550,0
551,1
552,0
553,1
554,1
555,1
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,0
564,1
565,0
566,1
567,0
568,0
569,0
570,1
571,1
572,0
573,0
574,0
575,1
576,1
577,0
578,0
579,0
580,1
581,0
582,1
583,1
584,0
585,0
586,0
587,0
588,1
589,1
590,1
591,1
592,0
593,0
594,0
595,0
596,1
597,0
598,1
599,0
600,1
601,1
602,0
603,0
604,0
605,1
606,0
607,0
608,0
609,0
610,1
611,0
612,1
613,1
614,1
615,1
616,0
617,1
618,0
619,1
620,1
621,1
622,1
623,1
624,0
625,1
626,1
627,0
628,0
629,1
630,0
631,1
632,1
633,1
634,1
635,0
636,1
637,0
638,1
639,0
640,0
641,0
642,0
643,1
644,1
645,1
646,0
647,0
648,1
649,1
650,1
651,0
652,1
653,1
654,0
655,1
656,0
657,1
658,1
659,1
660,1
661,1
662,0
663,0
664,0
665,0
666,1
667,0
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,0
677,1
678,0
679,0
680,1
681,1
682,1
683,1
684,0
685,1
686,0
687,1
688,0
689,0
690,0
691,1
692,0
693,0
694,0
695,1
696,1
697,1
698,1
699,0
700,1
701,0
702,1
703,1
704,0
705,1
706,0
707,0
708,0
709,1
710,0
711,0
712,1
713,1
714,0
715,0
716,1
717,1
718,0
719,1
720,0
721,0
722,0
723,0
724,1
725,0
726,1
727,0
728,1
729,0
730,0
731,0
732,1
733,1
734,0
735,1
736,1
737,1
738,0
739,1
740,1
741,1
742,0
743,1
744,0
745,1
746,0
747,1
748,1
749,0
750,1
751,0
752,0
753,1
754,1
755,1
756,0
757,0
758,0
759,1
760,1
761,1
762,0
763,1
764,0
765,1
766,0
767,0
768,1
769,0
770,0
771,1
772,0
773,0
774,0
775,0
776,1
777,1
778,1
779,1
780,0
781,1
782,1
783,1
784,1
785,1
786,1
787,0
788,0
789,0
790,0
791,1
792,1
793,1
794,0
795,0
796,1
797,0
798,1
799,1
800,0
801,0
802,1
803,0
804,1
805,1
806,0
807,0
808,1
809,0
810,0
811,0
812,0
813,1
814,0
815,1
816,0
817,1
818,0
819,0
820,1
821,1
822,0
823,0
824,0
825,1
826,1
827,0
828,1
829,1
830,0
831,0
832,0
833,0
834,0
835,0
836,1
837,0
838,1
839,0
840,0
841,1
842,0
843,1
844,1
845,0
846,1
847,1
848,0
849,1
850,1
851,1
852,1
853,1
854,1
855,1
856,0
857,1
858,1
859,0
860,1
861,0
862,0
863,0
864,1
865,0
866,1
867,1
868,1
869,1
870,1
871,1
872,0
873,0
874,1
875,0
876,0
877,0
878,0
879,0
880,1
881,1
882,0
883,0
884,1
885,1
886,0
887,1
888,1
889,1
890,1
891,0
892,0
893,1
894,1
895,1
896,0
897,1
898,0
899,1
900,1
901,0
902,1
903,1
904,0
905,1
906,1
907,0
908,1
909,1
910,0
911,0
912,1
913,1
914,1
915,0
916,1
917,1
918,1
919,1
920,0
921,0
922,1
923,1
924,0
925,0
926,1
927,0
928,0
929,0
930,1
931,1
932,0
933,1
934,0
935,0
936,1
937,0
938,0
939,0
940,1
941,0
942,0
943,1
944,0
945,1
946,1
947,1
948,0
949,1
950,0
951,1
952,0
953,0
954,1
955,0
956,0
957,0
958,1
959,0
960,0
961,0
962,1
963,0
964,0
965,1
966,0
967,1
968,0
969,0
970,1
971,0
972,1
973,0
974,1
975,1
976,1
977,1
978,1
979,0
980,1
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,1
989,0
990,1
991,1
992,1
993,1
994,1
995,0
996,1
997,1
998,0
999,0
1000,1
1001,0
1002,0
1003,1
1004,1
1005,1
1006,0
1007,1
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,0
1015,1
1016,1
1017,1
1018,0
1019,1
1020,0
1021,1
1022,0
1023,1
1024,0
1025,0
1026,0
1027,0
1028,1
1029,1
1030,1
1031,0
1032,0
1033,0
1034,1
1035,0
1036,0
1037,1
1038,0
1039,1
1040,1
1041,0
1042,0
1043,1
1044,1
1045,0
1046,1
1047,1
1048,0
1049,0
1050,1
1051,1
1052,0
1053,0
1054,0
1055,1
1056,0
1057,0
1058,0
1059,0
1060,0
